run_id,success,base_x,base_y,base_yaw,q1,q2,q3,q4,q5,q6,entry_l2_rad,entry_max_delta_rad,planning_wall_time_s,nominal_execution_time_s,alignment_time_s,trajectory_points,min_joint_margin_rad,min_joint_margin_normalized,min_manipulability,min_self_collision_clearance_m,max_joint_speed_rad_s,hybrid_expanded_nodes,ik_rejections,collision_rejections,error
30,1,0.75,2.06,0,0.177172828009,2.01137575606,2.22258262935,-1.33196547817,4.5057951894,0.936165629883,0.38640194858,0.196704101562,3.627778706,442.670746949,3.6882019043,707,0.0677138221197,0.011100626577,0.0274266705783,0.0028084449616,0.0768,696,1,0,""
31,1,0.75,2.06,0,0.527172828009,2.24470908939,2.36258262935,-1.23196547817,4.56943155304,0.990011783729,0.406503127537,0.2317157298,3.57834267,443.327214978,4.34466993375,708,0.0677138221197,0.011100626577,0.0274266705783,0.0028084449616,0.08,696,1,0,""
32,1,0.75,2.06,0,0.122485328009,2.3570547684,2.67058262935,-1.21767976389,4.32067122246,0.671076872487,0.476874330883,0.256592,3.556512167,443.793645044,4.8111,709,0.0677138221197,0.011100626577,0.0173075615882,0.00138983974914,0.0783673469388,696,1,0,""
33,1,0.75,2.06,0,0.472485328009,1.96816587951,2.13858262935,-1.11767976389,4.38430758609,0.724923026333,0.455708121904,0.294606413994,3.567974467,444.506415307,5.52387026239,710,0.0677138221197,0.011100626577,0.0274266705783,0.00226297801754,0.08,696,1,0,""
34,1,0.75,2.06,0,0.297485328009,2.20149921285,2.27858262935,-1.4799,4.44794394973,0.778769180179,0.211499006049,0.135408,3.794994741,441.521445044,2.5389,706,0.0001,1.63934426229e-05,0.0274266705783,0.0028084449616,0.08,696,1,0,""
35,1,0.75,2.06,0,0.0787353280092,1.83853624988,2.55858262935,-1.4799,4.575216677,0.886461487871,0.519652119339,0.301348879744,3.884943015,444.632836539,5.65029149452,710,0.0001,1.63934426229e-05,0.0175241341222,0.00280844496171,0.08,696,1,0,""
36,1,0.75,2.06,0,0.691235328009,2.22742513877,2.19458262935,-1.4799,4.32645634642,0.567526576629,0.456775108828,0.317358398437,3.905487685,444.933015016,5.9504699712,710,0.0001,1.63934426229e-05,0.0274266705783,0.00280844496171,0.08,696,1,0,""
37,1,0.75,2.06,0,0.0568603280092,2.46075847211,2.33458262935,-1.38910833531,4.39009271006,0.621372730475,0.48981407222,0.320873342478,3.984217985,444.998920216,6.01637517147,711,0.0677138221197,0.011100626577,0.0274266705783,0.0028084449616,0.079012345679,696,1,0,""
38,1,0.75,2.06,0,0.406860328009,1.86446217581,2.47458262935,-1.28910833531,4.4537290737,0.675218884321,0.348377647101,0.275422953818,3.929160779,444.146725428,5.16418038409,709,0.0677138221197,0.011100626577,0.0235497523847,0.0028084449616,0.0783673469388,696,1,0,""
39,1,0.75,2.06,0,0.231860328009,2.09779550914,2.61458262935,-1.18910833531,4.51736543733,0.729065038167,0.383955983809,0.223177842566,3.871130946,443.167129592,4.1845845481,708,0.0677138221197,0.011100626577,0.0202162610061,0.0028084449616,0.08,696,1,0,""
40,1,0.75,2.06,0,0.581860328009,2.33112884248,2.75458262935,-1.08910833531,4.58100180097,0.782911192013,0.599559719607,0.340592,3.755672319,445.368645044,6.3861,711,0.0677138221197,0.011100626577,0.0146810661438,0.0028084449616,0.079012345679,696,1,0,""
41,1,0.75,2.06,0,0.144360328009,1.94223995359,2.08818262935,-1.4799,4.64463816461,0.836757345859,0.547095116127,0.325808,3.834190422,445.091445044,6.1089,711,0.0001,1.63934426229e-05,0.0274266705783,0.0028084449616,0.079012345679,696,1,0,""
42,1,0.75,2.06,0,0.450610328009,2.48668439803,2.11618262935,-1.17482262103,4.26860510675,1.10598811509,0.61551029948,0.346799268404,4.019433289,445.485031327,6.50248628258,711,0.0677138221197,0.011100626577,0.0274266705783,0.000383504438976,0.079012345679,696,1,0,""
43,1,0.75,2.06,0,0.275610328009,1.79820703178,2.25618262935,-1.07482262103,4.33224147039,0.463976280771,0.607012923206,0.341678097851,3.873636746,445.389009379,6.40646433471,711,0.0677138221197,0.011100626577,0.0274266705783,0.00168309236278,0.079012345679,696,1,0,""
44,1,0.75,2.06,0,0.625610328009,2.03154036511,2.39618262935,-1.4799,4.39587783403,0.517822434617,0.393604558853,0.267478379609,3.765643928,443.997764662,5.01521961766,709,0.0001,1.63934426229e-05,0.0274266705783,0.0028084449616,0.0783673469388,696,1,0,""
45,1,0.75,2.06,0,0.188110328009,2.26487369844,2.53618262935,-1.4799,4.45951419766,0.571668588463,0.360704114606,0.213632225762,3.701372642,442.988149277,4.00560423305,708,0.0001,1.63934426229e-05,0.0229382017336,0.0028084449616,0.08,696,1,0,""
46,1,0.75,2.06,0,0.363110328009,2.10931814289,2.14418262935,-1.45849609042,4.58678692494,0.679360896155,0.386318072592,0.269808,3.641317011,444.041445044,5.0589,709,0.0215039095833,0.00352523107923,0.0274266705783,0.0028084449616,0.0783673469388,696,1,0,""
47,1,0.75,2.06,0,0.713110328009,2.34265147622,2.28418262935,-1.35849609042,4.65042328857,0.733207050001,0.525772478785,0.339233398437,3.729306732,445.343171265,6.3606262207,711,0.0677138221197,0.011100626577,0.0274266705783,0.0028084449616,0.079012345679,696,1,0,""
48,1,0.75,2.06,0,0.554516578009,1.8241329577,2.17218262935,-1.4799,4.21075386709,0.948591665386,0.488012392108,0.315752171925,3.682708177,444.902898267,5.92035322291,710,0.0001,1.63934426229e-05,0.0274266705783,6.38755519972e-05,0.08,696,1,0,""
49,1,0.75,2.06,0,0.117016578009,2.05746629104,2.31218262935,-1.4799,4.27439023072,1.00243781923,0.372646229789,0.256860351562,3.64280583,443.798676636,4.8161315913,709,0.0001,1.63934426229e-05,0.0274266705783,0.00218589459395,0.0783673469388,696,1,0,""
